바하, 62, 145
바자, 79, 190
자자, 61, 170
다타, 49, 167
라파, 59, 184
타나, 59, 140
나다, 57, 180
차아, 70, 154
사하, 71, 189
바마, 58, 183
타카, 47, 164
마타, 46, 141
파하, 78, 175
라아, 43, 152
아차, 87, 151
사아, 42, 164
파바, 56, 187
사차, 88, 193
카자, 45, 192
마사, 78, 195
바라, 59, 154
마카, 70, 142
타타, 79, 156
카바, 77, 156
자바, 79, 191
자나, 47, 160
카자, 95, 151
아타, 77, 187
사사, 60, 199
라다, 85, 160
차하, 90, 140
하바, 77, 177
파마, 97, 161
하자, 40, 180
아나, 90, 141
아나, 62, 158
라사, 86, 187
마사, 98, 184
아하, 97, 156
아나, 44, 168
마라, 67, 165
바차, 40, 178
하차, 58, 164
카자, 50, 184
마바, 65, 160
자차, 56, 189
타나, 99, 197
나아, 63, 157
라다, 78, 187
아나, 45, 193
자나, 86, 152
파나, 95, 158
다타, 51, 168
아자, 99, 183
마파, 83, 197
라사, 44, 187
바가, 80, 182
사하, 91, 152
아마, 81, 174
하가, 98, 144
가파, 68, 174
가가, 72, 168
차아, 49, 183
카바, 61, 181
가차, 98, 156
카타, 86, 171
나자, 96, 141
자하, 88, 182
나카, 99, 141
바차, 43, 160
마차, 74, 169
마하, 40, 172
카하, 67, 150
아아, 67, 174
자나, 99, 141
가라, 91, 154
사라, 88, 176
아마, 40, 194
카가, 77, 198
사자, 57, 146
아사, 92, 141
타마, 67, 170
나차, 65, 187
가하, 54, 197
다라, 62, 161
나가, 73, 141
사카, 83, 172
바카, 59, 196
마다, 74, 183
나자, 40, 149
파가, 76, 195
아바, 59, 169
다라, 97, 169
마사, 73, 140
차카, 58, 168
가마, 68, 172
다사, 48, 168
가하, 48, 189
차자, 94, 187
타자, 59, 155
하다, 57, 166
자다, 59, 181
가타, 90, 140
하다, 99, 177
아다, 83, 185
마카, 99, 166
아자, 64, 172
차타, 94, 177
마카, 66, 160
사하, 51, 191
라가, 96, 194
자차, 52, 150
자타, 94, 158
타자, 65, 189
나나, 57, 171
다하, 73, 172
타자, 45, 176
자카, 73, 187
바카, 74, 144
자다, 45, 149
나차, 53, 165
자자, 88, 142
자차, 77, 175
사사, 91, 162
파아, 48, 144
파카, 67, 185
바카, 85, 184
아라, 76, 159
바아, 66, 173
라하, 70, 147
바바, 91, 174
차카, 99, 181
사다, 97, 143
자나, 62, 177
나아, 70, 179
마다, 75, 168
아가, 64, 143
타파, 71, 159
나바, 99, 167
라나, 67, 146
사마, 52, 140
타하, 50, 185
차바, 44, 186
나파, 46, 182
다하, 93, 182
나하, 66, 164
자타, 60, 182
카자, 99, 179
다카, 46, 188
타바, 79, 147
차가, 75, 163
아다, 60, 173
자자, 98, 173
라파, 42, 170
아나, 94, 164
차라, 69, 182
라하, 97, 156
카자, 53, 141
마바, 50, 159
아아, 51, 168
사마, 85, 166
차사, 78, 174
마가, 98, 167
다타, 50, 153
바카, 68, 189
라하, 89, 145
카가, 61, 175
가가, 66, 188
하카, 41, 198
마가, 46, 182
나차, 68, 166
가마, 51, 190
다가, 75, 198
사자, 67, 193
가라, 86, 182
파다, 55, 175
라파, 89, 166
다타, 90, 147
바차, 50, 176
나카, 85, 183
바타, 97, 149
마자, 43, 193
카나, 53, 148
라아, 57, 174
차가, 40, 176
다라, 86, 144
자라, 68, 184
카카, 93, 156
하자, 97, 170
자가, 90, 144
자마, 41, 187
자마, 59, 174
파하, 89, 156
라라, 58, 147
파다, 51, 142
바차, 91, 180
파마, 44, 155
카라, 52, 146
자파, 53, 149
다다, 75, 143
아가, 56, 153
하자, 53, 142
아가, 95, 144
자가, 65, 161
타차, 99, 144
마가, 97, 160
나사, 50, 178
아아, 59, 165
파타, 46, 179
바라, 80, 185
하바, 43, 167
아다, 75, 152
마아, 98, 157
나파, 81, 166
라하, 57, 193
파바, 76, 172
차아, 58, 194
바하, 45, 191
카하, 51, 199
사하, 91, 194
가아, 78, 180
하다, 72, 166
다파, 57, 154
다다, 57, 197
가바, 63, 191
자다, 48, 152
다다, 63, 195
라라, 66, 166
가타, 86, 194
자자, 80, 144
가가, 94, 190
카차, 90, 157
바사, 75, 162
나아, 71, 148
마라, 91, 167
타타, 41, 158
하파, 61, 193
마자, 83, 145
라아, 63, 178
카카, 58, 195
라마, 90, 146
하라, 50, 163
아아, 70, 175
사나, 67, 194
가차, 53, 191
바사, 91, 154
바가, 41, 174
라파, 69, 146
가하, 46, 145
다가, 91, 143
가카, 73, 193
카카, 67, 175
라파, 41, 154
파자, 74, 164
아가, 49, 165
하사, 71, 175
다카, 94, 166
마아, 87, 187
타타, 75, 150
파마, 98, 193
라바, 98, 168
사파, 79, 143
타나, 86, 176
카하, 71, 180
마자, 66, 148
아자, 87, 194
카자, 55, 160
마바, 83, 140
파나, 53, 147
파가, 85, 173
파자, 79, 185
하가, 42, 191
마라, 78, 193
차마, 90, 170
가파, 44, 173
다가, 57, 173
아사, 93, 170
하나, 84, 147
카자, 84, 183
카하, 52, 188
가타, 54, 171
라하, 56, 190
자라, 57, 174
바차, 69, 170
마다, 49, 199
다마, 70, 179
타하, 51, 189
아라, 65, 146
아하, 44, 163
자카, 65, 149
하파, 60, 147
라카, 43, 179
다타, 91, 186
바타, 81, 157
하사, 40, 192
나카, 60, 159
바나, 63, 151
차사, 50, 169
자다, 94, 172
다하, 87, 144
가파, 98, 196
마마, 53, 175
마파, 73, 176
파사, 51, 161
마차, 66, 190
나타, 95, 160
나사, 87, 180
마하, 71, 177
사하, 99, 162
다차, 41, 192
타가, 41, 167
파자, 72, 192
하마, 54, 147
나나, 92, 194
자차, 43, 161
카카, 80, 195
사바, 90, 141
파바, 74, 189
차다, 86, 187
다하, 58, 150
사라, 63, 146
다차, 84, 166
카카, 84, 150
사카, 56, 184
타마, 49, 166
마자, 89, 199
마타, 51, 194
가라, 92, 197
가다, 95, 191
차파, 57, 142
아가, 78, 154
카마, 73, 185
아하, 97, 182
사아, 72, 185
사하, 56, 168
차다, 86, 163
라파, 72, 148
차다, 91, 190
사가, 99, 185
사사, 69, 188
차다, 50, 157
라다, 80, 186
하라, 57, 197
하다, 65, 193
바타, 83, 173
사타, 64, 155
차하, 74, 179
가아, 82, 156
차나, 64, 163
자하, 69, 155
하마, 88, 142
다사, 41, 168
사다, 95, 168
사나, 41, 163
타라, 55, 144
라타, 95, 162
차타, 78, 176
다가, 49, 194
라마, 90, 148
마다, 80, 196
타마, 59, 142
가사, 53, 178
자아, 74, 167
라다, 63, 162
차라, 85, 157
자나, 96, 158
타다, 88, 146
가바, 54, 153
사마, 88, 161
다차, 69, 140
파차, 51, 170
마사, 71, 175
바차, 57, 146
파자, 82, 198
사파, 48, 185
하차, 67, 143
카아, 86, 166
바마, 90, 162
가카, 85, 152
다차, 97, 197
타사, 99, 179
사파, 62, 168
파다, 45, 162
바라, 57, 181
타나, 87, 140
마라, 83, 151
파파, 85, 165
파라, 95, 182
아마, 93, 168
타자, 95, 193
카자, 72, 190
나아, 95, 199
카파, 92, 163
자자, 71, 147
파마, 69, 141
파자, 72, 147
마파, 51, 190
다파, 97, 141
타카, 79, 142
하아, 99, 172
파타, 93, 164
가가, 88, 186
아하, 92, 157
마파, 55, 173
사타, 87, 172
다차, 41, 170
하나, 59, 193
다차, 66, 194
사차, 88, 197
카나, 71, 165
다나, 51, 178
아자, 97, 189
마차, 85, 162
사라, 73, 183
나라, 40, 178
차차, 60, 198
라자, 61, 167
아차, 62, 185
차바, 85, 185
라마, 48, 162
파카, 44, 170
하사, 73, 168
타차, 41, 165
다차, 60, 165
차바, 99, 194
하파, 57, 141
나카, 56, 155
사다, 69, 177
카다, 60, 177
사가, 94, 169
바타, 48, 192
자사, 83, 165
하하, 85, 189
다아, 48, 178
차가, 79, 177
마사, 69, 184
카다, 87, 184
하다, 45, 196
자자, 55, 178
아타, 46, 185
자하, 44, 197
바아, 79, 146
나바, 86, 196
아파, 51, 171
다나, 66, 144
하가, 63, 167
라하, 74, 174
파카, 43, 189
아타, 91, 183
마가, 42, 155
바라, 55, 180
바자, 92, 180
차타, 45, 169
사라, 92, 188
자라, 58, 173
카하, 54, 197
아하, 81, 185
차나, 98, 155
다나, 82, 146
다하, 85, 187
차타, 40, 141
카라, 94, 152
자사, 80, 179
사마, 69, 146
하바, 52, 158
카타, 76, 168
다카, 42, 172
마가, 83, 159
바카, 54, 194
다바, 50, 180
나파, 57, 187
라가, 96, 160
바마, 88, 159
마마, 88, 171
사마, 88, 165
아파, 90, 146
차아, 93, 175
마하, 54, 145
나파, 46, 190
차파, 81, 187
바타, 77, 149
사나, 86, 148
차다, 48, 152
라파, 81, 157
카다, 67, 185
카바, 92, 172
사자, 90, 149
라타, 56, 195
카바, 42, 173
차다, 58, 149
아사, 75, 144
바자, 76, 161
라카, 54, 190
카나, 55, 162
다라, 95, 154
타마, 75, 191
나차, 75, 199
자바, 40, 149
파아, 42, 160
차카, 70, 171
마하, 84, 157
바바, 72, 161
라라, 90, 171
나타, 59, 150
가바, 83, 141
가나, 89, 172
파자, 85, 190
타마, 98, 179
마사, 40, 191
나하, 81, 180
차다, 41, 190
카라, 85, 187
하나, 40, 191
아바, 85, 189
다하, 68, 149
사파, 50, 156
라사, 85, 141
타가, 97, 158
카마, 73, 176
자사, 52, 177
다가, 62, 181
가타, 66, 154
자파, 91, 178
아라, 70, 189
다카, 55, 166
하바, 50, 186
바자, 98, 197
사가, 40, 180
자자, 51, 151
가바, 86, 199
파카, 86, 180
바자, 63, 168
아나, 97, 149
가나, 44, 193
마바, 81, 199
하하, 76, 190
가나, 54, 156
카자, 75, 154
파바, 92, 196
하라, 64, 157
파다, 46, 159
마카, 75, 176
가자, 73, 147
가차, 55, 144
타아, 79, 195
가라, 58, 192
나라, 72, 155
자자, 65, 193
아바, 97, 197
하바, 96, 185
타타, 80, 141
아가, 65, 146
하마, 72, 152
타바, 85, 155
마아, 82, 141
아아, 64, 156
하라, 59, 176
하차, 75, 166
파카, 89, 163
마아, 99, 156
파카, 77, 156
자카, 96, 193
카파, 90, 157
파타, 62, 177
바차, 40, 154
다아, 82, 157
바라, 91, 161
라바, 78, 188
카바, 87, 166
나하, 83, 155
다가, 62, 196
타가, 55, 141
사라, 45, 155
자아, 62, 143
바차, 56, 188
마타, 67, 196
타차, 95, 164
라파, 95, 160
마가, 71, 167
자사, 72, 188
마사, 73, 140
라하, 64, 190
라바, 92, 150
하하, 51, 156
타파, 80, 193
자차, 94, 191
하가, 46, 145
파아, 95, 143
카타, 88, 184
바마, 64, 141
차카, 53, 166
자카, 81, 155
나마, 68, 186
마다, 94, 180
다가, 89, 151
바자, 60, 184
다파, 41, 196
타마, 53, 150
바사, 91, 182
가라, 76, 151
라라, 94, 146
사차, 66, 151
마다, 89, 175
차마, 46, 177
다다, 47, 145
카하, 46, 148
타마, 82, 172
하마, 50, 184
나파, 54, 144
자다, 54, 197
나카, 63, 176
타바, 40, 182
라차, 79, 161
사바, 62, 142
다사, 87, 191
가자, 92, 192
하마, 91, 193
라바, 70, 194
바가, 47, 191
타카, 93, 165
다다, 45, 179
아사, 84, 150
가하, 82, 188
차가, 61, 192
차자, 47, 146
사다, 63, 197
다카, 75, 159
바차, 93, 184
라카, 91, 140
라자, 64, 167
타가, 79, 179
가아, 55, 178
라바, 89, 171
라자, 61, 164
카마, 67, 171
마가, 56, 141
바나, 85, 190
파아, 49, 141
다마, 42, 177
마카, 92, 150
아가, 47, 192
라바, 78, 147
아카, 51, 176
바카, 72, 167
가바, 80, 178
다바, 46, 168
카마, 42, 158
가다, 42, 178
나가, 79, 166
하타, 55, 178
나카, 78, 149
다사, 55, 156
타나, 70, 168
차자, 83, 174
사나, 86, 157
바마, 53, 171
바파, 49, 192
하차, 79, 199
하차, 83, 140
바다, 92, 192
마타, 82, 194
카타, 76, 178
하파, 46, 162
다아, 55, 193
마하, 59, 160
가바, 88, 156
나자, 71, 188
파타, 47, 182
다다, 63, 155
하다, 75, 151
타하, 73, 143
나하, 88, 175
타자, 98, 154
나나, 40, 164
사차, 70, 173
타자, 47, 141
라마, 51, 185
가다, 88, 192
마타, 69, 178
마아, 69, 144
라차, 90, 181
사카, 50, 198
하사, 64, 174
아파, 88, 149
마자, 67, 176
카하, 44, 151
가차, 49, 191
바타, 56, 180
하아, 69, 146
라사, 98, 198
하가, 57, 187
하바, 63, 153
파타, 78, 141
다라, 94, 176
카다, 81, 158
아라, 45, 186
아카, 92, 143
가사, 96, 185
다차, 99, 197
카다, 59, 150
아차, 47, 179
가바, 50, 197
바다, 91, 161
자차, 97, 182
라바, 99, 177
나바, 81, 156
라사, 69, 171
가가, 48, 180
타다, 62, 190
라자, 78, 183
아나, 90, 180
하라, 76, 187
카바, 48, 185
가사, 63, 158
가라, 76, 182
자아, 61, 194
사나, 67, 154
아사, 67, 177
하아, 96, 168
타카, 60, 197
차마, 56, 143
마아, 54, 155
차사, 91, 167
타파, 54, 191
다가, 98, 164
파다, 50, 168
카라, 58, 145
아타, 49, 178
다다, 48, 140
아라, 95, 168
마라, 45, 188
마가, 55, 156
마차, 63, 155
차하, 78, 150
아자, 44, 185
차파, 70, 193
바자, 65, 191
나아, 71, 155
가마, 69, 191
사자, 56, 167
아사, 87, 196
파파, 74, 177
하사, 69, 177
파아, 48, 185
자바, 77, 190
마자, 46, 170
라아, 58, 177
자바, 99, 185
사파, 51, 165
카타, 42, 147
파가, 58, 154
자자, 57, 154
다마, 47, 191
나가, 77, 162
다마, 99, 149
차가, 73, 155
아라, 61, 153
라라, 54, 162
가나, 44, 150
아아, 83, 156
라하, 76, 180
마나, 99, 140
마바, 55, 175
아하, 74, 145
아아, 85, 183
아바, 86, 166
사자, 56, 165
나사, 61, 166
하바, 68, 191
타사, 89, 184
파아, 58, 144
차가, 77, 183
타사, 72, 193
하나, 93, 175
아마, 98, 146
타자, 51, 169
파바, 56, 153
라타, 61, 161
라마, 67, 188
파사, 53, 177
아가, 90, 144
파다, 89, 146
사아, 65, 145
자카, 92, 198
자사, 68, 170
바파, 43, 159
카타, 81, 194
라타, 74, 182
차파, 92, 189
차마, 91, 161
라라, 96, 140
파타, 92, 149
타차, 81, 184
라차, 42, 175
차하, 49, 160
아다, 69, 172
파가, 54, 146
다나, 68, 165
하자, 55, 167
사바, 62, 175
바라, 56, 192
아마, 72, 194
라나, 82, 192
마바, 56, 182
나가, 48, 152
하아, 52, 179
나자, 48, 158
바아, 44, 198
차차, 68, 150
카나, 61, 170
사라, 48, 157
파사, 81, 168
바나, 41, 196
파파, 84, 198
다나, 62, 169
라가, 46, 189
다다, 47, 143
차하, 45, 197
라아, 99, 188
파카, 53, 191
차차, 60, 179
차타, 82, 158
나차, 87, 190
나카, 76, 162
가라, 46, 199
라사, 79, 159
차아, 66, 177
라바, 64, 152
차나, 65, 181
차아, 99, 199
다가, 99, 158
나카, 40, 140
차가, 45, 150
타아, 89, 141
타바, 47, 178
라나, 49, 153
타라, 98, 162
가라, 79, 188
타바, 56, 148
타파, 94, 141
타다, 66, 141
